≠,object_location,filename,title,creator,date,archival_date,description,subject,location,idaho county,source,identifier,type,format_original,format,finding_aid,digital_collection,contributing_ins[...]
object_1,https://objects.lib.uidaho.edu/shitamae/mg387_03_027.pdf,cdil_collection.pdf,School Letter Update From George To Yukiko,"Shitamae, Yoshiko",1942-06-25,Summer 1942,"A letter from Yoshiko, G[...]",,,,,,,,,,,,,,,,
object_2,https://objects.lib.uidaho.edu/hiroshima/argonaut_1942-04-24_pg1.jpg,cdil_collection.jpeg,"Argonaut Article Mentions that the University has made no change to their ""No Jap"" Policy",Univ[...]
object_3,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page28_a.jpg,cdil_collection.jpeg,Photo Of Kooskia Internment Camp Bulletin Board,Kooskia Internment Camp,1944,1944,Image of bulletin boar[...]
object_4,https://ddr.densho.org/ddr-densho-26-261/,cdil_collection.jpeg,Painting Of Lake And Mountain Scene,,1900's,1900's,Painting Of A Lake and Mountain,"Visual Arts, Painting",,,"Yanagihara Fami[...]
object_5,https://ddr.densho.org/ddr-densho-371-1/,cdil_collection.jpeg,Painting Of The Gila River Camp,Dick Sata,1942,1942,Painting Of The Gila River In Arizona,"Visual Arts, Painting",Gila River A[...]
object_6,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1939-10-06.pdf,cdil_collection.pdf,"Argonaut Article has a message from then president Harrison Dale, who students to take a more active rol[...]",,,, ,,,,,,,,,,,,
object_7,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-05-27.pdf,cdil_collection.pdf,"Argonaut Article which discusses the building of a new armory for the ROTC and the allotment of $200,000[...]",,,, ,,,,,,,,,,,,
object_8,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1942-11-12.pdf,cdil_collection.pdf,Argonaut Article discusses a speciality unit of the army on campus offering military training to women,University of Idaho Student Media,1942-11-12,1942-11-12,"Training, ROTC, women in military",,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1942-11-12.html,,,,,,,,,
object_9,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1941-12-09.pdf,cdil_collection.pdf,Argonaut Article focuses on the bombing of Pearl Harbor with the student government and U Of I president,University of Idaho Student Media,1941-12-09,1941-12-09,"Pearl Harbor, student government response",,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1941-12-09.html,,,,,,,,,
object_10,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1945-05-24.pdf,cdil_collection.pdf,Argonaut Article mentions running behind on their paper release due to the war effort needing paper fro[...]
object_11,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1949-11-15.pdf,cdil_collection.pdf,Argonaut Article discusses the arrival of the first ROTC unit to campus and increase in enrollment due [...]
object_12,https://objects.lib.uidaho.edu/argonaut/pdf/arg-1935-04-02.pdf,cdil_collection.pdf,"Argonaut Article has a small section which discusses a debate with Utah State students on the debate t[...]
object_13,https://www.lib.uidaho.edu/digital/argonaut/items/arg-1949-11-15.html,cdil_collection.pdf,Argonaut Article ,University of Idaho Student Media,1949-11-15,Fall 1949,Article discusses four [...]
